mo,fullname,genus,species,kingdom,phylum,class,fullname
F_ASPRG_TPRS,Aspergillus teporis,Aspergillus,teporis,Fungi,Ascomycota,Eurotiomycetes,Aspergillus teporis
F_ASPRG_TNBR,Aspergillus tenebricus,Aspergillus,tenebricus,Fungi,Ascomycota,Eurotiomycetes,Aspergillus tenebricus
F_ASPRG_TMPL,Aspergillus templicola,Aspergillus,templicola,Fungi,Ascomycota,Eurotiomycetes,Aspergillus templicola
F_ASPRG_TLLR,Aspergillus telluris,Aspergillus,telluris,Fungi,Ascomycota,Eurotiomycetes,Aspergillus telluris
F_ASPRG_TATN,Aspergillus tatenoi,Aspergillus,tatenoi,Fungi,Ascomycota,Eurotiomycetes,Aspergillus tatenoi
F_ASPRG_TSMN,Aspergillus tasmanicus,Aspergillus,tasmanicus,Fungi,Ascomycota,Eurotiomycetes,Aspergillus tasmanicus
F_ASPRG_TERRS,Aspergillus terreus,Aspergillus,terreus,Fungi,Ascomycota,Eurotiomycetes,Aspergillus terreus
F_ASPRG_RTCL,Aspergillus reticulatus,Aspergillus,reticulatus,Fungi,Ascomycota,Eurotiomycetes,Aspergillus reticulatus
F_ASPRG_RSTR,Aspergillus restrictus,Aspergillus,restrictus,Fungi,Ascomycota,Eurotiomycetes,Aspergillus restrictus
F_ASPRG_RPTN,Aspergillus reptans,Aspergillus,reptans,Fungi,Ascomycota,Eurotiomycetes,Aspergillus reptans
F_ASPRG_OTAN,Aspergillus otanii,Aspergillus,otanii,Fungi,Ascomycota,Eurotiomycetes,Aspergillus otanii
F_ASPRG_OSTN_PPRS,Aspergillus ostianus capparis,Aspergillus,ostianus,Fungi,Ascomycota,Eurotiomycetes,Aspergillus ostianus capparis
F_ASPRG_OSTN,Aspergillus ostianus,Aspergillus,ostianus,Fungi,Ascomycota,Eurotiomycetes,Aspergillus ostianus
F_ASPRG_OSMP,Aspergillus osmophilus,Aspergillus,osmophilus,Fungi,Ascomycota,Eurotiomycetes,Aspergillus osmophilus
F_ASPRG_ORYZ_VRDS,Aspergillus oryzae viridis,Aspergillus,oryzae,Fungi,Ascomycota,Eurotiomycetes,Aspergillus oryzae viridis
F_ASPRG_ORYZ_ORYZ,Aspergillus oryzae oryzae,Aspergillus,oryzae,Fungi,Ascomycota,Eurotiomycetes,Aspergillus oryzae oryzae
F_ASPRG_OVLS,Aspergillus ovalispermus,Aspergillus,ovalispermus,Fungi,Ascomycota,Eurotiomycetes,Aspergillus ovalispermus
F_ASPRG_ORYZ_FLVS,Aspergillus oryzae fulvus,Aspergillus,oryzae,Fungi,Ascomycota,Eurotiomycetes,Aspergillus oryzae fulvus
F_ASPRG_ORYZ_BSDF,Aspergillus oryzae basidiferus,Aspergillus,oryzae,Fungi,Ascomycota,Eurotiomycetes,Aspergillus oryzae basidiferus
F_ASPRG_ORNT,Aspergillus ornatulus,Aspergillus,ornatulus,Fungi,Ascomycota,Eurotiomycetes,Aspergillus ornatulus
F_ASPRG_OMNN,Aspergillus omanensis,Aspergillus,omanensis,Fungi,Ascomycota,Eurotiomycetes,Aspergillus omanensis
F_ASPRG_OLVM,Aspergillus olivimuriae,Aspergillus,olivimuriae,Fungi,Ascomycota,Eurotiomycetes,Aspergillus olivimuriae
F_ASPRG_OLVC,Aspergillus olivicola,Aspergillus,olivicola,Fungi,Ascomycota,Eurotiomycetes,Aspergillus olivicola
F_ASPRG_OLVCS,Aspergillus olivaceus,Aspergillus,olivaceus,Fungi,Ascomycota,Eurotiomycetes,Aspergillus olivaceus
F_ASPRG_ORYZ_EFFS,Aspergillus oryzae effusus,Aspergillus,oryzae,Fungi,Ascomycota,Eurotiomycetes,Aspergillus oryzae effusus
F_ASPRG_OLVCF,Aspergillus olivaceofuscus,Aspergillus,olivaceofuscus,Fungi,Ascomycota,Eurotiomycetes,Aspergillus olivaceofuscus
F_ASPRG_OXUM,Aspergillus oxumiae,Aspergillus,oxumiae,Fungi,Ascomycota,Eurotiomycetes,Aspergillus oxumiae
F_ASPRG_PCHY,Aspergillus pachycristatus,Aspergillus,pachycristatus,Fungi,Ascomycota,Eurotiomycetes,Aspergillus pachycristatus
F_ASPRG_PNCLLT,Aspergillus penicillatus,Aspergillus,penicillatus,Fungi,Ascomycota,Eurotiomycetes,Aspergillus penicillatus
F_ASPRG_PELL,Aspergillus pelloeae,Aspergillus,pelloeae,Fungi,Ascomycota,Eurotiomycetes,Aspergillus pelloeae
F_ASPRG_PLST,Aspergillus paulistensis,Aspergillus,paulistensis,Fungi,Ascomycota,Eurotiomycetes,Aspergillus paulistensis
F_ASPRG_PRVL,Aspergillus parvulus,Aspergillus,parvulus,Fungi,Ascomycota,Eurotiomycetes,Aspergillus parvulus
F_ASPRG_PRVV,Aspergillus parviverruculosus,Aspergillus,parviverruculosus,Fungi,Ascomycota,Eurotiomycetes,Aspergillus parviverruculosus
F_ASPRG_PRVS,Aspergillus parvisclerotigenus,Aspergillus,parvisclerotigenus,Fungi,Ascomycota,Eurotiomycetes,Aspergillus parvisclerotigenus
F_ASPRG_PCHYC,Aspergillus pachycaulis,Aspergillus,pachycaulis,Fungi,Ascomycota,Eurotiomycetes,Aspergillus pachycaulis
F_ASPRG_PRRL,Aspergillus parrulus,Aspergillus,parrulus,Fungi,Ascomycota,Eurotiomycetes,Aspergillus parrulus
F_ASPRG_PRST,Aspergillus parasiticus,Aspergillus,parasiticus,Fungi,Ascomycota,Eurotiomycetes,Aspergillus parasiticus
F_ASPRG_PRFL,Aspergillus parafelis,Aspergillus,parafelis,Fungi,Ascomycota,Eurotiomycetes,Aspergillus parafelis
F_ASPRG_PNMN,Aspergillus panamensis,Aspergillus,panamensis,Fungi,Ascomycota,Eurotiomycetes,Aspergillus panamensis
F_ASPRG_PLLDS,Aspergillus pallidus,Aspergillus,pallidus,Fungi,Ascomycota,Eurotiomycetes,Aspergillus pallidus
F_ASPRG_PLLD,Aspergillus pallidofulvus,Aspergillus,pallidofulvus,Fungi,Ascomycota,Eurotiomycetes,Aspergillus pallidofulvus
F_ASPRG_PLCS,Aspergillus paleaceus,Aspergillus,paleaceus,Fungi,Ascomycota,Eurotiomycetes,Aspergillus paleaceus
F_ASPRG_PRST_GLBS,Aspergillus parasiticus globosus,Aspergillus,parasiticus,Fungi,Ascomycota,Eurotiomycetes,Aspergillus parasiticus globosus
F_ASPRG_PNCL,Aspergillus penicilliformis,Aspergillus,penicilliformis,Fungi,Ascomycota,Eurotiomycetes,Aspergillus penicilliformis
F_ASPRG_OLCL,Aspergillus oleicola,Aspergillus,oleicola,Fungi,Ascomycota,Eurotiomycetes,Aspergillus oleicola
F_ASPRG_ORLN,Aspergillus oerlinghausenensis,Aspergillus,oerlinghausenensis,Fungi,Ascomycota,Eurotiomycetes,Aspergillus oerlinghausenensis
F_ASPRG_NGRS,Aspergillus nigrescens,Aspergillus,nigrescens,Fungi,Ascomycota,Eurotiomycetes,Aspergillus nigrescens
F_ASPRG_NIGR_NANS,Aspergillus niger nanus,Aspergillus,niger,Fungi,Ascomycota,Eurotiomycetes,Aspergillus niger nanus
F_ASPRG_NIGR_INTR,Aspergillus niger intermedius,Aspergillus,niger,Fungi,Ascomycota,Eurotiomycetes,Aspergillus niger intermedius
F_ASPRG_NIGR,Aspergillus niger,Aspergillus,niger,Fungi,Ascomycota,Eurotiomycetes,Aspergillus niger
F_ASPRG_NDLN_IMMN,Aspergillus nidulans imminutus,Aspergillus,nidulans,Fungi,Ascomycota,Eurotiomycetes,Aspergillus nidulans imminutus
F_ASPRG_NDLN_RTLR,Aspergillus nidulans fertilior,Aspergillus,nidulans,Fungi,Ascomycota,Eurotiomycetes,Aspergillus nidulans fertilior
F_ASPRG_NGRC,Aspergillus nigricans,Aspergillus,nigricans,Fungi,Ascomycota,Eurotiomycetes,Aspergillus nigricans
F_ASPRG_NDLN,Aspergillus nidulans,Aspergillus,nidulans,Fungi,Ascomycota,Eurotiomycetes,Aspergillus nidulans
F_ASPRG_NTRR,Aspergillus neoterreus,Aspergillus,neoterreus,Fungi,Ascomycota,Eurotiomycetes,Aspergillus neoterreus
